test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,2.6854628391220317,2.0187883413453958,0.9643934615271206,0.9288198783954137,273000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,2.1534333971282624,1.607594698380659,0.9773797651887778,0.9540170467364205,273000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,3.098630423986857,2.221027533862467,0.9513228426428006,0.8974674152284697,273000
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,2.3206466391482734,1.7224157382270135,0.9649080416108882,0.9302823935079918,270000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,2.1995007157112147,1.5657990191146405,0.9688379351494211,0.937546955835584,270000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,3.0564050827834355,2.094252075510436,0.9377910601822849,0.8701952402575539,270000
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,2.982145877828382,2.197091292131526,0.9690820540460402,0.9374595819404122,270000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,2.5172361515526793,1.7848095579736716,0.9779115916389178,0.9556277866482348,270000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,3.4109990879848304,2.4086035010432316,0.9610265212911169,0.9199928148095454,270000
A04T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,2.6564013541478393,2.013824354360323,0.9527196402830663,0.9028957155025618,262000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,1.9809937387453482,1.5253234200581076,0.973556676751205,0.9467217177794254,262000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,2.8943135432153397,2.1594973712272645,0.9472265178155322,0.8894871444390378,262000
A05T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,2.1410334494961476,1.6135035028577809,0.9701907830128855,0.9388587997647831,262000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,1.8418493123892896,1.3961890215831578,0.9775425489469093,0.9543512051585397,262000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,2.807791771590369,2.056540259598077,0.9468716142733041,0.8860720534267211,262000
A06T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,4.0932895696686895,3.0024880561318446,0.9481698696266987,0.8920503753325746,219000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,2.887990629008632,2.1013144573374314,0.9733891092498634,0.9460295327620947,219000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,3.8714146262282947,2.776588552183018,0.9531322310557697,0.8980956985036559,219000
A07T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,2.646086763562836,2.005825081476582,0.9532234883631447,0.9054531454336576,271000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,2.190450725763625,1.66748088949754,0.9682630537800402,0.9356981366641756,271000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,2.982319677276525,2.2316982156488443,0.9431842914549006,0.8799233823331589,271000
A08T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,3.5284208807426216,2.6498915440765476,0.9620432222195068,0.9239061016165357,264000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,2.46627343147719,1.818157446455362,0.9817660374389315,0.9626344824239177,264000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,3.3884756128563884,2.454915018208286,0.9656324692775029,0.9277373409105225,264000
A09T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline_interpolation,4.95289479343295,3.625611285534133,0.936711915796675,0.8654123496264053,237000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline_interpolation,3.199972118011568,2.247840874268964,0.973297134241099,0.943406209754759,237000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline_interpolation,4.2297843854503325,3.007897016435115,0.9584655872443525,0.909566018835188,237000
