test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,n_test_trials,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,10984555520.743567,8288003598.626821,0.0023771284736217053,-1.1774410474083878e+18,40,40000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,9246519537.778189,7179276798.741458,-0.0028728461958141154,-8.38706965663405e+17,40,40000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,7263196084.762568,5614667376.98397,-0.029810510061373696,-5.5837491261734765e+17,40,40000
A02T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,8051279373.530962,6077301773.615281,-0.0039680685664699195,-6.410094583614289e+17,40,40000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,6909463226.978505,5430414288.868027,-0.013278316779198874,-4.7041766873933235e+17,40,40000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,6268754592.467813,4937612235.47498,-0.014777689442732484,-4.080789324358004e+17,40,40000
A03T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,10204331887.847683,7718320084.289365,-0.004735323875444081,-8.739724564717087e+17,40,40000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,8743350826.675861,6793608755.791388,-0.02973357359978306,-6.382121904335479e+17,40,40000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,7023183834.035308,5509490886.208837,0.014282900826615957,-4.072177998701767e+17,40,40000
A04T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,10022447337.996572,7562896501.896133,0.002025417384832501,-1.2393578491843868e+18,40,40000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,8508291390.972851,6495087465.012452,-0.009511446453448893,-8.803027578583786e+17,40,40000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,6770613775.019615,5255815731.53417,-0.03369004478811663,-5.478765074331321e+17,40,40000
A05T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,9375632774.715923,6862747418.454684,-0.01761977285682905,-1.1129930634466028e+18,40,40000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,8073977733.390037,6139435367.854711,-0.03426986328713344,-8.331251918577568e+17,40,40000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,7210179280.205304,5366955758.875524,-0.04423824578695887,-7.120802515870359e+17,40,40000
A06T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,15708671763.879808,11812040069.982693,-0.015412872312931451,-1.7848406604893514e+18,40,40000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,12115492197.153004,9395647223.541239,-0.009050609987460077,-1.0623890490911293e+18,40,40000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,9878219842.382256,7669685797.378453,-0.02804071477870279,-7.431890651146336e+17,40,40000
A07T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,9587030743.523495,7288521195.212647,-0.00645558884067905,-1.293584090320416e+18,40,40000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,8247815292.318143,6408625355.600822,0.0010153562299778005,-9.479908553931654e+17,40,40000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,6657229999.9557705,5205876182.736614,-0.009362928628219342,-6.20447563428884e+17,40,40000
A08T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,12941527082.793667,9698885368.816765,-0.014684102653112981,-1.2220826708983214e+18,40,40000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,11785910693.51513,8878609885.54322,-0.017464801854020832,-1.0193036235779558e+18,40,40000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,9161495161.12697,6854747757.548127,-0.0365513853414923,-6.33100926715527e+17,40,40000
A09T,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,19125709217.08788,14242923276.588112,-0.020050294795357696,-2.2465837247677755e+18,40,40000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,16375719787.667742,12372113070.755072,-0.018542960436629743,-1.655891122443394e+18,40,40000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,12321486600.120262,9271119671.643219,-0.03836715784211534,-8.58966036911513e+17,40,40000
