subject,evaluation_mode,n_input_channels,input_channels,n_reconstructed_channels,method,inverse_method,lambda2,ad_hoc_noise_std,rmse,mae,pearson_r,r2,n_test_trials,n_test_samples
A01T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,9.972284889523703,7.771104809790891,0.0017415660457394395,-0.005362193971351292,12,12000
A01T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,9.937449241534251,7.742902465107768,-0.0007890705357320964,-0.0045470476714253305,12,12000
A01T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,9.474478663001001,7.389923288729282,-0.017723037980148296,-0.005418179875688711,12,12000
A02T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,10.281239091711937,8.07596346061874,0.001204368876980106,-0.0008232192250496873,12,12000
A02T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,10.318447425222836,8.110192964308572,0.0015290264791095684,-0.0005472333823590692,12,12000
A02T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,10.07718648463922,7.911731015341826,-0.0016586599775614112,-0.000779811629670446,12,12000
A03T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,10.916055370170282,8.501512423104554,-0.008828367182993223,-0.00031496710853451404,12,12000
A03T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,10.95166174479716,8.53038616608819,-0.02722021722822619,-0.001085924530053406,12,12000
A03T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,10.983844624413202,8.53930971266017,0.002521266847050045,-0.00031771849910455785,12,12000
A04T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,9.014708948612125,7.0800747424027035,-0.00865175502311991,-0.002593768502625604,12,12000
A04T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,9.071549806161874,7.123194267237886,0.009677808041904594,-0.0016387121806040739,12,12000
A04T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,9.07760859355452,7.113854150170909,-0.007646254661792071,-0.002488843714889555,12,12000
A05T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,9.012388098782152,6.933503499727028,-0.015920312104955054,-0.0038453421279871502,12,12000
A05T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,8.96444637682186,6.905933174938623,0.01830962157468064,-0.002446427314201527,12,12000
A05T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,8.578359304667808,6.621792909094288,0.010780372618492925,-0.0025324965622268714,12,12000
A06T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,12.508200617986523,9.669399612558065,-0.0017246920440845805,-0.0008928294023871075,12,12000
A06T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,12.528613988949411,9.663036599490663,-0.011737073003261291,-0.0010963704343918135,12,12000
A06T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,12.12134102947669,9.30351321988357,-0.0397727234255612,-0.0031002261139236875,12,12000
A07T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,8.634664359097387,6.749483732132391,-0.020110797970948224,-0.002423222779805556,12,12000
A07T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,8.666312414461123,6.768009492227947,-0.009322414220349736,-0.001854898926863191,12,12000
A07T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,8.667426281125346,6.766004787424057,0.0029711199943736563,-0.001917384001899558,12,12000
A08T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,11.514316925466021,9.098851589793169,-0.01511476586920569,-0.0007941914681239837,12,12000
A08T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,11.504833795251486,9.078847641901303,-0.03028592877535348,-0.0015623992140914034,12,12000
A08T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,11.261818788500014,8.822206186284351,-0.03202626780111186,-0.0024867616427963757,12,12000
A09T,subject_independent,5,"Fz,C3,C4,Pz,POz",17,bem_mne_forward_inverse,MNE,1.0,1e-06,13.186252379439846,10.31866792989593,-0.03989100615198888,-0.0021249834475502993,12,12000
A09T,subject_independent,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_mne_forward_inverse,MNE,1.0,1e-06,13.152143710163648,10.294394996390619,-0.04391452654372946,-0.002767662627763734,12,12000
A09T,subject_independent,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_mne_forward_inverse,MNE,1.0,1e-06,13.674332079419955,10.625528328423274,-0.04257052101238443,-0.0036638031048399355,12,12000
