test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,2.2830374240875244,1.759678840637207,0.9739828705787659,0.9486013441036729,20000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,1.846970558166504,1.401455044746399,0.9829586148262024,0.9661631598024126,20000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,2.0175085067749023,1.5184015035629272,0.978131890296936,0.9564884250799949,20000
A02T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,2.161064624786377,1.6056108474731445,0.9695412516593933,0.9399825039018389,20000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,1.9192845821380615,1.3562052249908447,0.9762262105941772,0.9528287731595135,20000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,2.0032107830047607,1.3496378660202026,0.9722828269004822,0.9446049534929675,20000
A03T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,2.492809772491455,1.858174443244934,0.9778008460998535,0.9560492181449158,20000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,2.242969512939453,1.5752495527267456,0.982293963432312,0.9645768506325899,20000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,2.6668074131011963,1.860507845878601,0.9753376245498657,0.9508022838189492,20000
A04T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,2.045696973800659,1.5973798036575317,0.9707142114639282,0.9422316418358383,20000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,1.6717994213104248,1.290297269821167,0.9807678461074829,0.9619033779087486,20000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,1.9860529899597168,1.4834672212600708,0.9736756682395935,0.947974352101689,20000
A05T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,1.8823238611221313,1.4507430791854858,0.9764851331710815,0.9526621923080248,20000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,1.5739437341690063,1.203276515007019,0.9832628965377808,0.9665943162178502,20000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,1.6638987064361572,1.2621846199035645,0.9800054430961609,0.9599911713865805,20000
A06T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,3.2438623905181885,2.4769835472106934,0.9657017588615417,0.9323905189768845,20000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,2.5658342838287354,1.9181276559829712,0.978839099407196,0.9575402137423584,20000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,2.9509384632110596,2.17698073387146,0.9709189534187317,0.9412111756344731,20000
A07T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,2.207223653793335,1.7164889574050903,0.9658582806587219,0.9327424263870573,20000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,1.779061198234558,1.3758413791656494,0.9781438112258911,0.9566340294709564,20000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,1.9755703210830688,1.5263628959655762,0.9730063080787659,0.9461557557108442,20000
A08T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,2.752164125442505,2.123074531555176,0.9768470525741577,0.9539557937458655,20000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,1.949430227279663,1.4994579553604126,0.9883201718330383,0.9767765374334819,20000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,2.2860517501831055,1.7135100364685059,0.9835714101791382,0.9672065852794683,20000
A09T,5,"Fz,C3,C4,Pz,POz",17,deep_autoencoder,3.5276811122894287,2.706263542175293,0.9653503894805908,0.9317835177594245,20000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_autoencoder,2.4208147525787354,1.8091760873794556,0.9837796688079834,0.9676325704942159,20000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_autoencoder,3.0949923992156982,2.26951265335083,0.9755445718765259,0.9514025053933316,20000
