test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,2.301595687866211,1.7752033472061157,0.9738390445709229,0.9477623306760937,20000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,1.8510044813156128,1.3993364572525024,0.9830005168914795,0.9660151955622197,20000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,2.0050039291381836,1.5094062089920044,0.9783070087432861,0.9570261227803356,20000
A02T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,2.1624057292938232,1.6068273782730103,0.9696184992790222,0.9399079955229583,20000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,1.9032233953475952,1.3441379070281982,0.9765816926956177,0.953614957550118,20000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,1.9881198406219482,1.362091064453125,0.9726626873016357,0.9454364345712727,20000
A03T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,2.4955835342407227,1.8644542694091797,0.9778450131416321,0.9559513593659354,20000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,2.220079183578491,1.5663666725158691,0.982572078704834,0.9652961685742373,20000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,2.684497117996216,1.877529263496399,0.975400447845459,0.9501474340723544,20000
A04T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,2.0538928508758545,1.60292649269104,0.9708045125007629,0.9417678349896331,20000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,1.660866379737854,1.2802103757858276,0.9810549020767212,0.9624000287607752,20000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,1.9705004692077637,1.4651769399642944,0.9741604924201965,0.9487859738070833,20000
A05T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,1.8816745281219482,1.4521101713180542,0.9766977429389954,0.9526948417853581,20000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,1.5625886917114258,1.196415901184082,0.983677864074707,0.9670745759897785,20000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,1.646498441696167,1.2486352920532227,0.9802451133728027,0.960823582771683,20000
A06T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,3.248394727706909,2.4829397201538086,0.9658418297767639,0.9322014638893019,20000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,2.5191128253936768,1.877567172050476,0.9793288111686707,0.9590724412761552,20000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,2.9241297245025635,2.1689200401306152,0.9710956811904907,0.9422744918303021,20000
A07T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,2.1955010890960693,1.709688425064087,0.9664141535758972,0.9334549415029368,20000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,1.7960121631622314,1.393080711364746,0.9780793786048889,0.9558037058946708,20000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,1.9407960176467896,1.4998935461044312,0.9736732840538025,0.948034621741783,20000
A08T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,2.7563581466674805,2.122189998626709,0.9771186113357544,0.9538153528454703,20000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,1.9398049116134644,1.4943828582763672,0.9885549545288086,0.977005301716903,20000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,2.287210702896118,1.7080539464950562,0.983792781829834,0.9671733305197376,20000
A09T,5,"Fz,C3,C4,Pz,POz",17,deep_cnn,3.5023815631866455,2.685703754425049,0.9658569097518921,0.9327584721682836,20000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,deep_cnn,2.3589632511138916,1.7615855932235718,0.9847986102104187,0.9692654085379645,20000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,deep_cnn,3.0273067951202393,2.2064976692199707,0.9767383933067322,0.9535048601589523,20000
