test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,lstm,2.3349592685699463,1.8009382486343384,0.9728432297706604,0.9462369044500507,20000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,2.3814544677734375,1.8058021068572998,0.9718753099441528,0.943745877397309,20000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,2.2761056423187256,1.728133201599121,0.9720209836959839,0.9446192462132139,20000
A02T,5,"Fz,C3,C4,Pz,POz",17,lstm,2.2322442531585693,1.6659239530563354,0.9677942395210266,0.9359637761334005,20000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,2.6021549701690674,1.8545652627944946,0.956990659236908,0.913290891099104,20000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,2.244570255279541,1.5667551755905151,0.9649481177330017,0.9304520944335521,20000
A03T,5,"Fz,C3,C4,Pz,POz",17,lstm,2.6189064979553223,1.9525054693222046,0.9756156802177429,0.9514903366262949,20000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,2.692251443862915,1.9343693256378174,0.9744037389755249,0.9489645814530177,20000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,2.851113796234131,2.0247609615325928,0.9719226360321045,0.943767064480463,20000
A04T,5,"Fz,C3,C4,Pz,POz",17,lstm,2.070152997970581,1.6170179843902588,0.9700835943222046,0.9408421701081314,20000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,2.158508777618408,1.6607747077941895,0.9680008888244629,0.9364923860618377,20000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,2.1704599857330322,1.6655820608139038,0.9687613248825073,0.9378645546770777,20000
A05T,5,"Fz,C3,C4,Pz,POz",17,lstm,1.939711570739746,1.5016275644302368,0.9754936099052429,0.9497317506760755,20000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,2.012411594390869,1.549107551574707,0.9729661345481873,0.9453895665898038,20000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,1.894595980644226,1.4700016975402832,0.9737526774406433,0.9481277285555942,20000
A06T,5,"Fz,C3,C4,Pz,POz",17,lstm,3.451127529144287,2.6343443393707275,0.9611075520515442,0.9234747505892045,20000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,3.554454803466797,2.652524471282959,0.9584383964538574,0.9185170677972643,20000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,3.2730026245117188,2.4638593196868896,0.9635626673698425,0.92767853715641,20000
A07T,5,"Fz,C3,C4,Pz,POz",17,lstm,2.278090238571167,1.7819173336029053,0.9636041522026062,0.9283542635124452,20000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,2.1832547187805176,1.6726114749908447,0.9668315052986145,0.9346905413703438,20000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,2.2089881896972656,1.7114778757095337,0.965772807598114,0.9326804720963854,20000
A08T,5,"Fz,C3,C4,Pz,POz",17,lstm,3.005638599395752,2.274601936340332,0.972224771976471,0.945083875668234,20000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,2.7633702754974365,2.064114809036255,0.9765803217887878,0.9533351671396573,20000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,2.6638057231903076,1.9531986713409424,0.9775027632713318,0.9554733950492669,20000
A09T,5,"Fz,C3,C4,Pz,POz",17,lstm,4.214138507843018,3.1309683322906494,0.9505317807197571,0.9026517089632331,20000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,lstm,4.478874206542969,3.3038270473480225,0.9432190656661987,0.8892043234310703,20000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,lstm,3.7969040870666504,2.7650318145751953,0.9631562829017639,0.9268601739549663,20000
