test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,tcn,2.2873196601867676,1.7616732120513916,0.9739031791687012,0.9484083564411938,20000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,1.838865041732788,1.390973448753357,0.9831357598304749,0.966459498993217,20000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,2.025871515274048,1.5284184217453003,0.9781333208084106,0.9561269486369678,20000
A02T,5,"Fz,C3,C4,Pz,POz",17,tcn,2.1600868701934814,1.6037849187850952,0.9697340130805969,0.9400368095015126,20000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,1.8934074640274048,1.3389049768447876,0.9768410921096802,0.9540921912471255,20000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,1.953787088394165,1.332878828048706,0.9733332395553589,0.9473046755906214,20000
A03T,5,"Fz,C3,C4,Pz,POz",17,tcn,2.5525379180908203,1.9041926860809326,0.9777332544326782,0.9539178500903148,20000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,2.2287847995758057,1.565834403038025,0.9823776483535767,0.9650234653425959,20000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,2.6344237327575684,1.8399138450622559,0.9761257767677307,0.9519898673995738,20000
A04T,5,"Fz,C3,C4,Pz,POz",17,tcn,2.0335350036621094,1.5879337787628174,0.9710421562194824,0.9429164864693247,20000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,1.6669434309005737,1.2823795080184937,0.9810984134674072,0.9621243691684035,20000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,1.9643487930297852,1.463901162147522,0.9742380976676941,0.9491052417865675,20000
A05T,5,"Fz,C3,C4,Pz,POz",17,tcn,1.8783098459243774,1.4454622268676758,0.9769876003265381,0.9528638704921422,20000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,1.5738086700439453,1.2022689580917358,0.9837405681610107,0.9666000437129731,20000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,1.6456539630889893,1.2459425926208496,0.9803538918495178,0.9608637620979255,20000
A06T,5,"Fz,C3,C4,Pz,POz",17,tcn,3.2537312507629395,2.4900686740875244,0.9658418297767639,0.9319785161761273,20000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,2.571709632873535,1.9051434993743896,0.9787170886993408,0.9573455353302958,20000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,2.951162576675415,2.180131673812866,0.970772922039032,0.9412022424836638,20000
A07T,5,"Fz,C3,C4,Pz,POz",17,tcn,2.1829354763031006,1.6999446153640747,0.966600239276886,0.9342144964319987,20000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,1.773690938949585,1.373956561088562,0.978254497051239,0.9568954421705327,20000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,1.9499483108520508,1.5018489360809326,0.9735578298568726,0.9475433535481382,20000
A08T,5,"Fz,C3,C4,Pz,POz",17,tcn,2.739300489425659,2.1076107025146484,0.9770367741584778,0.9543852067726306,20000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,1.927785873413086,1.4831424951553345,0.98862224817276,0.9772893704620805,20000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,2.289006233215332,1.7087730169296265,0.9836176037788391,0.9671217661728113,20000
A09T,5,"Fz,C3,C4,Pz,POz",17,tcn,3.50097393989563,2.68753981590271,0.9658310413360596,0.9328125066505218,20000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,tcn,2.3405187129974365,1.7572169303894043,0.9848016500473022,0.9697441486829779,20000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,tcn,2.9897615909576416,2.1873133182525635,0.9773216843605042,0.9546509884259531,20000
