test_subject,n_input_channels,input_channels,n_reconstructed_channels,n_test_samples,method,rmse,mae,pearson_r,r2
A01T,5,"Fz,C3,C4,Pz,POz",17,273000,idw_interpolation,3.3053088188171387,2.5708985328674316,0.945702850818634,0.8921687830125389
A01T,5,"Fz,C3,C4,Pz,POz",17,273000,hybrid_residual_mlp,2.266038656234741,1.7472155094146729,0.9743664860725403,0.9493178457820785
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,273000,idw_interpolation,3.10380482673645,2.393991470336914,0.9515231251716614,0.9044737327547363
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,273000,hybrid_residual_mlp,1.805808663368225,1.366653561592102,0.9837008118629456,0.9676646583918072
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,273000,idw_interpolation,4.268795013427734,3.258232831954956,0.9014115333557129,0.8054044393040183
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,273000,hybrid_residual_mlp,1.9652215242385864,1.4812182188034058,0.9791751503944397,0.958757462082055
A02T,5,"Fz,C3,C4,Pz,POz",17,270000,idw_interpolation,2.7864019870758057,2.1076204776763916,0.9495580196380615,0.8994893664797767
A02T,5,"Fz,C3,C4,Pz,POz",17,270000,hybrid_residual_mlp,2.1231398582458496,1.5733747482299805,0.9704061150550842,0.941644520080484
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,270000,idw_interpolation,2.7722413539886475,2.0640814304351807,0.9494797587394714,0.900787260232963
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,270000,hybrid_residual_mlp,1.8721858263015747,1.315513253211975,0.9771153330802917,0.9547515938781614
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,270000,idw_interpolation,3.5272231101989746,2.6165757179260254,0.9123913049697876,0.8271240089028908
