subject,run_index,trial_index_in_run,label_id,label_name,artifact,start_sample,end_sample,sampling_rate
A04T,1,0,4,tongue,0,751,1751,250
A04T,1,1,4,tongue,0,2754,3754,250
A04T,1,2,1,left_hand,0,4672,5672,250
A04T,1,3,4,tongue,0,6624,7624,250
A04T,1,4,1,left_hand,0,8632,9632,250
A04T,1,5,1,left_hand,0,10743,11743,250
A04T,1,6,4,tongue,0,12660,13660,250
A04T,1,7,4,tongue,0,14710,15710,250
A04T,1,8,4,tongue,0,16641,17641,250
A04T,1,9,2,right_hand,0,18639,19639,250
A04T,1,10,4,tongue,0,20545,21545,250
A04T,1,11,1,left_hand,0,22440,23440,250
A04T,1,12,1,left_hand,0,24412,25412,250
A04T,1,13,2,right_hand,0,26356,27356,250
A04T,1,14,2,right_hand,0,28323,29323,250
A04T,1,15,2,right_hand,0,30443,31443,250
A04T,1,16,3,feet,0,32451,33451,250
A04T,1,17,1,left_hand,0,34517,35517,250
A04T,1,18,3,feet,0,36553,37553,250
A04T,1,19,2,right_hand,0,38619,39619,250
A04T,1,20,3,feet,0,40689,41689,250
A04T,1,21,2,right_hand,0,42769,43769,250
A04T,1,22,1,left_hand,0,44681,45681,250
A04T,1,23,3,feet,0,46712,47712,250
A04T,1,24,3,feet,0,48665,49665,250
A04T,1,25,1,left_hand,0,50626,51626,250
A04T,1,26,3,feet,0,52730,53730,250
A04T,1,27,2,right_hand,0,54734,55734,250
A04T,1,28,2,right_hand,0,56709,57709,250
A04T,1,29,4,tongue,0,58735,59735,250
A04T,1,30,1,left_hand,0,60806,61806,250
A04T,1,31,3,feet,0,62913,63913,250
A04T,1,32,1,left_hand,0,65005,66005,250
A04T,1,33,3,feet,0,67096,68096,250
A04T,1,34,2,right_hand,0,69139,70139,250
A04T,1,35,4,tongue,0,71203,72203,250
A04T,1,36,3,feet,0,73223,74223,250
A04T,1,37,2,right_hand,0,75195,76195,250
A04T,1,38,2,right_hand,0,77158,78158,250
A04T,1,39,3,feet,0,79083,80083,250
A04T,1,40,1,left_hand,0,81164,82164,250
A04T,1,42,4,tongue,0,85132,86132,250
A04T,1,43,3,feet,0,87251,88251,250
A04T,1,44,4,tongue,0,89157,90157,250
A04T,1,45,2,right_hand,0,91085,92085,250
A04T,1,46,3,feet,0,93199,94199,250
A04T,1,47,4,tongue,0,95258,96258,250
A04T,2,0,3,feet,0,751,1751,250
A04T,2,1,2,right_hand,0,2754,3754,250
A04T,2,2,2,right_hand,0,4672,5672,250
A04T,2,3,1,left_hand,0,6624,7624,250
A04T,2,4,2,right_hand,0,8632,9632,250
A04T,2,5,4,tongue,0,10743,11743,250
A04T,2,6,3,feet,0,12660,13660,250
A04T,2,7,1,left_hand,0,14710,15710,250
A04T,2,8,4,tongue,0,16641,17641,250
A04T,2,9,1,left_hand,0,18639,19639,250
A04T,2,10,3,feet,0,20545,21545,250
A04T,2,11,4,tongue,0,22440,23440,250
A04T,2,12,1,left_hand,0,24412,25412,250
A04T,2,13,2,right_hand,0,26356,27356,250
A04T,2,14,4,tongue,0,28323,29323,250
A04T,2,15,3,feet,0,30443,31443,250
A04T,2,17,1,left_hand,0,34517,35517,250
A04T,2,18,3,feet,0,36553,37553,250
A04T,2,19,4,tongue,0,38619,39619,250
A04T,2,20,2,right_hand,0,40689,41689,250
A04T,2,21,1,left_hand,0,42769,43769,250
A04T,2,22,3,feet,0,44681,45681,250
A04T,2,23,1,left_hand,0,46712,47712,250
A04T,2,24,2,right_hand,0,48665,49665,250
A04T,2,25,2,right_hand,0,50626,51626,250
A04T,2,26,1,left_hand,0,52730,53730,250
A04T,2,28,2,right_hand,0,56709,57709,250
