test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.133566466593702,7.93907207073105,0.003413821901209999,-0.0020717897853268497,38.131279247458615,12.647097328818278,10.656265239862227,11.630081615495596,2.611026664678619,40,40000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,10.104985644017733,7.918264776630966,0.0028785073982493434,-0.0016709260097513834,38.04836002776064,12.608440677114645,10.51422552238332,11.62412305176946,2.5388323295000945,40,40000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_dipole_model,9.73222156432854,7.614242964555709,-0.015896715927198993,-0.00252297598689899,34.696132693271906,10.776629566201597,10.956464986600473,11.902387672516099,2.481847781665665,40,40000
A02T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.059289663668466,7.90833366875789,-0.002995270246698993,-0.0006202157453107926,16.94241143972665,8.886816679202234,14.144072434186631,15.4809883708087,7.521048865335361,40,40000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,10.07687690741019,7.923752452901323,-0.007368815177013362,-0.0005686993813587282,17.14889594230236,8.949945282569033,14.154169460026413,15.373977369043775,7.559610039853156,40,40000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_dipole_model,9.81761692850536,7.69866471556003,-0.009818558957194332,-0.0009071743693369605,15.931619183511717,7.63454979700198,12.766362251922986,15.077459107628128,7.650676985053849,40,40000
A03T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.916937102875266,8.484534261918926,-0.008598068468753177,-0.0002998685317101568,18.558608979868044,10.504681166196374,20.225046726224626,16.634062721203637,9.690426826941533,40,40000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,10.95169435403475,8.512103856100174,-0.034992049072394366,-0.001317751122916766,18.718399374209667,10.587923557664098,20.690254526882846,16.476055884327454,9.693455120373418,40,40000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_dipole_model,11.008583641489585,8.534959944928694,-0.0023634934267796983,-0.0005103217337167898,18.364762868360835,9.45876486651936,24.245322707943767,16.53015371461549,9.883938758857864,40,40000
A04T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.011011937456429,7.048495373917042,0.0007752066603477486,-0.0018351975843247104,26.713696439764536,10.380698724775383,8.033033365658051,11.82076513566442,2.0986955675265335,40,40000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,9.074136418928818,7.095354623435701,0.006424380655722563,-0.0012855767204451585,27.399223470546225,10.432546708008713,8.260124979728065,11.926835388356226,2.111553271206789,40,40000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_dipole_model,9.155202402522317,7.128229805235639,-0.005978510264612446,-0.001757258289346142,27.710639079508336,9.478925596200703,9.37285114859854,13.024965864136876,2.3599449873644156,40,40000
A05T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,8.907612045393604,6.900776383877795,-0.01689477257651795,-0.00464787125240429,32.644037913064274,11.193319220901483,4.908731185553677,7.637269244773591,1.685957561649154,40,40000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,8.859865651964094,6.870161294464375,0.014925074349251461,-0.0032044384212344124,32.493453093411375,11.20002676380893,4.8733559612746475,7.569768196545304,1.6732814776124427,40,40000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_dipole_model,8.557381497150109,6.624860566804426,0.01524370522501936,-0.003040806904269555,29.972119457959735,10.125431854816457,4.748786264211687,7.385250820471587,1.6592197020779313,40,40000
A06T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,11.769377620515046,9.141197633650329,-0.017724946120890792,-0.0019072416810179682,41.723853856174344,26.81012194540447,24.8403155081524,11.96080541336792,2.0438285510556207,40,40000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,11.764635095634507,9.122273321821867,-0.017241203796663388,-0.0017477676934962716,41.943528800586265,26.8693122597398,24.683030216001427,11.629798269129013,2.0617503115849773,40,40000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_dipole_model,11.474122802402324,8.876652012021726,-0.024998639662022763,-0.002722877798759127,38.54924022206847,24.216499054770477,26.943635309873677,11.618385416383898,2.1431264633029663,40,40000
A07T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,8.433835122882218,6.6166703228321415,-0.0108328625484453,-0.001098103215982249,22.951212398474677,9.329453945212398,8.060763272727202,9.209279348609746,1.4604940980767556,40,40000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,8.473712706640763,6.642975981129174,0.0007655247657501347,-0.0006305687071024302,23.422318030577557,9.400591790436659,8.260689707095612,9.133730691469317,1.4313975262678653,40,40000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_dipole_model,8.455242810475525,6.60874152515647,0.0008822088311002791,-0.000852613996728202,23.72733498360196,8.528761154816522,8.977582665140364,9.10903984679601,1.4277270640141588,40,40000
