test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.618135826366357,7.529714561430551,0.3965352844542594,0.09727388371908774,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.311635403286758,7.232316040446827,0.47517804462375096,0.15728318348182813,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,FC3
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.068182249230995,7.8863257282510455,0.4638600788898084,0.140490321312713,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,FC1
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.63934462830506,8.359612390635654,0.47500086150117277,0.13544353329348036,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,FCz
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.066962541477922,7.929998612268659,0.4802673014397706,0.14922721750072965,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,FC2
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.569235755177514,7.508670932994227,0.5071771480704954,0.16910072059751824,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,FC4
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,7.568028399396224,5.9190234379130535,0.37786790549968075,0.1100580902479451,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,C5
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.050674136303297,7.902911842770263,0.3399402348558435,0.06660008614876956,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,C1
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.760809952220495,8.475749222189565,0.35995580813569655,0.060332082361145734,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,Cz
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.076281352954847,7.943506180475326,0.39053026250713263,0.08294200080133651,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,C2
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,8.111808474115861,6.399012795569114,0.5144851685428626,0.16271488262334421,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,C6
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.138492162984823,7.176090231116497,0.3054672752689071,0.06253918003299841,37.485853963863754,12.336840348032645,10.183055142089017,11.183647707484656,2.498071869118968,40,40000,CP3
