test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.2911508083343506,1.7656999826431274,0.974104642868042,0.9487830833400291,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,1.8830640316009521,1.4320448637008667,0.9824513792991638,0.965191927938216,0.1093426175039636,0.10822315250006284,0.17403246927729682,0.6323144147904709,0.4923868051798032,40,20000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,2.064220428466797,1.5599461793899536,0.9770804047584534,0.9546684700390106,0.1327272271599187,0.15550397342928304,0.19238753969976308,0.6169160812897401,0.6544434642929674,40,20000
A02T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.1960690021514893,1.6298412084579468,0.9759476780891418,0.9522533312973529,0.16518000562179316,0.24603739152330517,0.27175669268451613,1.0989351794888724,0.9191316158757284,40,20000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,1.9673024415969849,1.4082154035568237,0.9808936715126038,0.9621376638504033,0.2008771151120602,0.28411198448035946,0.40036292867794865,1.421089265525396,1.2908000596503495,40,20000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,2.067945718765259,1.423359990119934,0.9777535200119019,0.9556018151023672,0.2606444003273981,0.3221472632995795,0.47111005993439065,1.7445230203913977,1.478080359282279,40,20000
A03T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.581862688064575,1.962235450744629,0.9717886447906494,0.9439055745426257,0.2650992068285658,0.328407634496301,0.42602748028011905,1.5424348431932078,1.4772566959126492,40,20000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,2.277987480163574,1.6483579874038696,0.9782776236534119,0.9567265221704673,0.2619613254501025,0.34241402707920177,0.36894886254681725,1.4164869326307248,1.2315005513236428,40,20000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,2.728271245956421,1.988694429397583,0.9688733816146851,0.9383069505053682,0.3774313840056201,0.5017968910544505,0.5692703260113416,2.348922877544581,2.047924296999201,40,20000
A04T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.062537670135498,1.6212555170059204,0.9730880260467529,0.9466729280589767,0.08381296218457224,0.0819855518035012,0.11124287602824269,0.4934046605299111,0.3586618300172033,40,20000
