test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,3.3053088188171387,2.5708985328674316,0.945702850818634,0.8921687830125389,8.135235658214814,4.096229349084742,3.5865609702421675,2.7780534833040917,0.9642415237509663,273,273000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,3.10380482673645,2.393991470336914,0.9515231251716614,0.9044737327547363,7.199364936728183,3.439430620858962,3.616634098594471,2.5496760716989972,0.7475830637783474,273,273000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,4.268795013427734,3.258232831954956,0.9014115333557129,0.8054044393040183,6.898997292551049,2.954571565756146,4.059668461592509,2.6148240849057056,0.6623018216390426,273,273000
A02T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,2.7864019870758057,2.1076204776763916,0.9495580196380615,0.8994893664797767,4.272363968043122,3.2285854452440046,3.7361579015547126,2.444810822484156,0.6244631444521459,270,270000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,2.7722413539886475,2.0640814304351807,0.9494797587394714,0.900787260232963,3.9527301949665876,3.0657941595306526,3.2359388653131234,1.962958196155535,0.6884546593433034,270,270000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,3.5272231101989746,2.6165757179260254,0.9123913049697876,0.8271240089028908,3.5921988729044596,3.004026855136404,3.20694973173556,1.3054339241745045,0.8827749067525947,270,270000
A03T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,3.3232743740081787,2.5431337356567383,0.9605398178100586,0.9223331947487559,3.996518547181536,3.5564057511312908,5.782156001503494,2.1265055450224226,0.8319771771572737,270,270000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,3.2570693492889404,2.4499244689941406,0.9622881412506104,0.92571225027383,3.91836927409181,3.2174251558892752,7.846991998922388,1.6143315897376953,0.8579317144303781,270,270000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,4.345239639282227,3.242485761642456,0.9329845905303955,0.8701645510316136,4.234846787459217,2.740157001097887,12.442656433003874,1.3806325640532329,1.117491903615172,270,270000
A04T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,2.8863015174865723,2.245354175567627,0.9419025182723999,0.8853604567332884,5.207107656006999,2.7369789471045824,2.3502286200708533,2.4492161143740097,0.2477764563525212,262,262000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,2.837184429168701,2.1924614906311035,0.9448390007019043,0.8907153515909515,5.669980015169204,2.4945613214346483,2.8824578406633625,2.7356260771962413,0.2922260588360082,262,262000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,4.024511337280273,3.0320992469787598,0.8870939612388611,0.7863278042730618,6.113132675386573,2.036367286767853,4.440861535354253,3.820456447824748,0.6318501675682875,262,262000
A05T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,2.3931241035461426,1.8433066606521606,0.9613848328590393,0.9236133424106833,4.824927267712591,2.529344136427938,0.9738321112954434,1.4460633587838492,0.3323101766977591,262,262000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,2.349019765853882,1.8089107275009155,0.9622159004211426,0.925750341813841,4.746465159150455,2.408390963109651,0.9007742087005142,1.1239705996811677,0.2952452046330458,262,262000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,3.2103285789489746,2.4248363971710205,0.9260466694831848,0.8510640852856745,5.046899178205259,2.286947504143891,0.7611705630667376,0.7618972998126216,0.3260166208316513,262,262000
A06T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,4.393426418304443,3.3903262615203857,0.9369238018989563,0.8756393606249768,10.448778803877667,7.795564086918505,8.674910856354675,3.350072426255068,0.6595316432315902,219,219000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,4.206149578094482,3.217243194580078,0.9417002201080322,0.8855188254504849,9.67238595034853,7.392208239823025,8.75513329719113,2.7662465881891714,0.6385603868269143,219,219000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,5.618683338165283,4.264793872833252,0.8887878060340881,0.7853542709657751,8.805735895921687,6.791481400581778,9.400494100671489,2.2165398750934835,0.6640257858909482,219,219000
A07T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,3.002363443374634,2.3408548831939697,0.9380128383636475,0.878279005268356,5.003240592979645,2.5723683348973125,2.2956382164499662,3.04719629454195,0.48691691823096217,271,271000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,2.872445821762085,2.235572576522827,0.9440315365791321,0.8894241579016151,5.557979857752039,2.4040380617915234,2.8019900865048193,2.6552763115640667,0.4031036390339026,271,271000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,3.8652150630950928,2.9496982097625732,0.8943767547607422,0.7983039435541338,6.244084058157492,1.9465424274236878,3.368213975282239,2.100290206731963,0.3864702584182012,271,271000
A08T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,4.278144836425781,3.287717342376709,0.9435266852378845,0.8881335100643414,7.326370333805722,4.1665104742849,15.476738744018666,5.664666728404178,0.49308856411997,264,264000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,3.8359642028808594,2.9449381828308105,0.9547579884529114,0.9096064088437009,6.44607357955768,3.556654409236734,14.974548863478782,4.882827712576105,0.4651207797091061,264,264000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,5.4139533042907715,4.051017761230469,0.9041060209274292,0.8155264193220035,5.206724053047516,2.902971709781289,16.471821260990918,4.110388209827561,0.5169130838642008,264,264000
A09T,5,"Fz,C3,C4,Pz,POz",17,distance_weighted,5.420701503753662,4.165093898773193,0.9162452220916748,0.8387877832128682,9.300673658846252,7.166725254959255,20.00525427665779,4.602983601767255,0.5301691477484008,237,237000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,distance_weighted,4.837449550628662,3.7143518924713135,0.9344037175178528,0.8706670090660593,9.085273219456278,6.641415869123697,23.350384209560662,4.0222311547670495,0.40278603289111203,237,237000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,distance_weighted,7.1509175300598145,5.305665016174316,0.8611250519752502,0.7415248775708942,11.393163316927545,6.046377475629702,44.6371196629372,3.44255610447294,0.3311478163982515,237,237000
