test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.276219129562378,1.753525972366333,0.9741612672805786,0.9489078976386941,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.8275071382522583,1.3852895498275757,0.9832978248596191,0.9668725522692293,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.9925037622451782,1.5006017684936523,0.9786077737808228,0.9575602985371163,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000
A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.152590751647949,1.5969165563583374,0.9698176383972168,0.9404522610406204,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.9044163227081299,1.3469483852386475,0.976505696773529,0.9535567923172644,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.9622818231582642,1.3284382820129395,0.973079264163971,0.9468454573457762,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000
A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.4946413040161133,1.8574856519699097,0.9777911305427551,0.9559846116927038,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,2.2286250591278076,1.563896894454956,0.9823650121688843,0.9650284857928811,0.2887061915047087,0.40645022319985846,0.4575565447805914,1.8064544862174696,1.7037290462978032,270,20000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,2.650298833847046,1.8459705114364624,0.9755455255508423,0.9514095033566651,0.34707936699000747,0.49302532744890737,0.5745090972140784,2.2078635703203324,2.0650514652738647,270,20000
A04T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.042836904525757,1.5956937074661255,0.9708320498466492,0.942393063264411,0.12230692236438757,0.13333515693539477,0.15266604405085624,0.5465891087189464,0.47511385091582675,262,20000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.6573445796966553,1.2784037590026855,0.9811248779296875,0.9625593162591409,0.10193146112863007,0.14375333300715845,0.16386169101189801,0.5511590197413652,0.48921974808681495,262,20000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.9780796766281128,1.4757384061813354,0.9738563895225525,0.9483912417375772,0.11183324364940679,0.14241578621198542,0.171231222895107,0.585592748108746,0.5133731909807305,262,20000
A05T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.873388409614563,1.441398024559021,0.9767403602600098,0.9531105516116178,0.11602264471528735,0.11086295522918271,0.1524516555440452,0.5931774910248496,0.5234373974312702,262,20000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.5510308742523193,1.1846528053283691,0.9837508797645569,0.9675598468809838,0.08612402612669882,0.10199851873882214,0.11900580160972582,0.4686651034421337,0.380045340653088,262,20000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.6439412832260132,1.248964548110962,0.9803716540336609,0.9609451787801959,0.08463691462936376,0.10089071265387597,0.12137140620068859,0.47856834354628636,0.39919644675839017,262,20000
