model_loaded,test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.276219129562378,1.753525972366333,0.9741612672805786,0.9489078976386941,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.1053056716918945,1.6704365015029907,0.9777534604072571,0.9555547833442688,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,FC3
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.2664237022399902,1.7707372903823853,0.9776239991188049,0.9554083943367004,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,FC1
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.9194247722625732,2.2753727436065674,0.9662198424339294,0.9329483509063721,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,FCz
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.086040496826172,1.6287987232208252,0.9816063046455383,0.9629219174385071,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,FC2
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.218747138977051,1.7513738870620728,0.9774249196052551,0.9545422792434692,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,FC4
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.9957399368286133,2.3908286094665527,0.9288506507873535,0.862657904624939,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,C5
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.1383895874023438,1.6920477151870728,0.9782646894454956,0.9568538069725037,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,C1
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.8688158988952637,2.2629239559173584,0.9658665060997009,0.9322965741157532,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,Cz
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.0454490184783936,1.6183584928512573,0.981046736240387,0.9619821906089783,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,C2
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,3.3202483654022217,2.6407527923583984,0.9289302229881287,0.8615401387214661,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,C6
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.227792501449585,1.756331443786621,0.9721451997756958,0.9442123770713806,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,CP3
