test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,learned_bem_residual,2.271522045135498,1.752272605895996,0.9742981791496277,0.9490722614845558,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,273,273000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,learned_bem_residual,1.8096649646759033,1.3700004816055298,0.9836410284042358,0.9675264072791876,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,273,273000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,learned_bem_residual,1.9731796979904175,1.4901282787322998,0.979011058807373,0.9584227647684582,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,273,273000
A02T,5,"Fz,C3,C4,Pz,POz",17,learned_bem_residual,2.132225275039673,1.5814194679260254,0.9701347351074219,0.9411440219740825,1.3565863670536973,1.1615433318566375,0.7975798022680001,1.1260338467809938,0.761714363238559,270,270000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,learned_bem_residual,1.8781267404556274,1.3211544752120972,0.9769945740699768,0.9544639696962974,0.666510379433355,0.704230131936481,0.6744102397549299,0.9395879107786018,0.8500938621283421,270,270000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,learned_bem_residual,1.9207979440689087,1.3055145740509033,0.9740520119667053,0.9487336812978242,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,270,270000
A03T,5,"Fz,C3,C4,Pz,POz",17,learned_bem_residual,2.4811906814575195,1.8537472486495972,0.9781196117401123,0.9567064374170515,1.3787823362928278,1.4197409256253348,1.9388533955788099,3.052433769882569,2.07899543164066,270,270000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,learned_bem_residual,2.188976526260376,1.542506456375122,0.9831083416938782,0.9664459188381432,0.6954979376064813,0.8143176667887873,2.3772042159706497,2.5362336875071363,1.8789103460082832,270,270000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,learned_bem_residual,2.6047258377075195,1.823441743850708,0.976533830165863,0.9533458985305507,1.1424047726396738,0.4101168854466547,2.7990858459387886,3.433391335924892,2.504434432954302,270,270000
A04T,5,"Fz,C3,C4,Pz,POz",17,learned_bem_residual,2.0302894115448,1.5823538303375244,0.9712492823600769,0.9432759877492087,1.2423034912871662,0.426293088162272,0.6162088500120017,0.37075015829251146,0.2996524653556387,262,262000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,learned_bem_residual,1.6505848169326782,1.2707993984222412,0.98133385181427,0.9630120964170377,0.8092644097523918,0.3881530031683198,0.44634249282941363,0.5058209979209048,0.32819530307026507,262,262000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,learned_bem_residual,1.9358025789260864,1.4382895231246948,0.9750090837478638,0.9505639499914718,1.0360602079236325,0.3516422049452314,0.5594599249448489,0.6032231878929395,0.46970888731623617,262,262000
A05T,5,"Fz,C3,C4,Pz,POz",17,learned_bem_residual,1.853254795074463,1.4228901863098145,0.977067768573761,0.9541903151148129,1.503118444442044,0.38221079992108264,0.19656500266673438,0.8990721539508486,0.29646464387362087,262,262000
