test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.6854628391220317,2.0187883413453958,0.9643934615271206,0.9288198783954137,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.1534333971282624,1.607594698380659,0.9773797651887778,0.9540170467364205,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,3.098630423986857,2.221027533862467,0.9513228426428006,0.8974674152284697,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.3206466391482734,1.7224157382270135,0.9649080416108882,0.9302823935079918,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.1995007157112147,1.5657990191146405,0.9688379351494211,0.937546955835584,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,3.0564050827834355,2.094252075510436,0.9377910601822849,0.8701952402575539,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.982145877828382,2.197091292131526,0.9690820540460402,0.9374595819404122,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.5172361515526793,1.7848095579736716,0.9779115916389178,0.9556277866482348,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,3.4109990879848304,2.4086035010432316,0.9610265212911169,0.9199928148095454,1.8262191227043048,1.0099116372440766,5.2645453007041105,1.1122229969075763,0.39904086395458777,270,270000
A04T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.6564013541478393,2.013824354360323,0.9527196402830663,0.9028957155025618,1.5265645656288156,0.6488529866657062,1.0189333131841425,1.9359422630284862,0.23734252092835106,262,262000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.9809937387453482,1.5253234200581076,0.973556676751205,0.9467217177794254,0.9888724007980821,0.5842402112574727,0.6344966839572285,0.9643792733062001,0.04832700841424399,262,262000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,2.8943135432153397,2.1594973712272645,0.9472265178155322,0.8894871444390378,2.4321499774070943,1.1148337657386262,1.0280536675377305,1.8282100278335027,0.5508550508962688,262,262000
A05T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.1410334494961476,1.6135035028577809,0.9701907830128855,0.9388587997647831,2.6168363652657507,0.4865836647290794,0.3398868859687857,0.399129832705202,0.05926694211038621,262,262000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.8418493123892896,1.3961890215831578,0.9775425489469093,0.9543512051585397,1.7302993100412072,0.8272471731921494,0.26245628915805125,0.20052814650218415,0.10147936313690169,262,262000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,2.807791771590369,2.056540259598077,0.9468716142733041,0.8860720534267211,3.0473413394001,1.334173921228708,0.6709822200470366,0.8351084494338429,0.4982047664787454,262,262000
A06T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,4.0932895696686895,3.0024880561318446,0.9481698696266987,0.8920503753325746,3.656015399764189,3.259442614000255,11.174144211030766,3.4663924530013617,0.2964112434206232,219,219000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.887990629008632,2.1013144573374314,0.9733891092498634,0.9460295327620947,3.894438474184324,3.8198323221192316,5.818110369790974,1.6850220568529117,0.2811726821135963,219,219000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,3.8714146262282947,2.776588552183018,0.9531322310557697,0.8980956985036559,5.559573311272142,5.661703092729139,8.922785718961249,3.641152961604047,0.20826466161587576,219,219000
A07T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.646086763562836,2.005825081476582,0.9532234883631447,0.9054531454336576,1.038887531378869,0.6211196773995706,1.2191278626446005,1.390016788456184,0.1635633450308597,271,271000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.190450725763625,1.66748088949754,0.9682630537800402,0.9356981366641756,1.350349184478878,0.6554270725519735,0.5807916755011928,1.0505017949536455,0.1065777130148634,271,271000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,2.982319677276525,2.2316982156488443,0.9431842914549006,0.8799233823331589,1.8359476996165103,0.8503802778343631,1.0719198223617523,1.8615818420370374,0.650218209219771,271,271000
A08T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,3.5284208807426216,2.6498915440765476,0.9620432222195068,0.9239061016165357,1.8392997824335244,1.409575995802158,6.775581684765339,1.9208114463645405,0.22819894389109033,264,264000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.46627343147719,1.818157446455362,0.9817660374389315,0.9626344824239177,1.4686489479764446,0.7629508011500128,4.572793130877848,1.6034995465489852,0.20659378006927342,264,264000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,3.3884756128563884,2.454915018208286,0.9656324692775029,0.9277373409105225,1.7511383097323865,1.0414102952911453,6.7808760158905566,2.7921135394949923,0.7289812025986074,264,264000
A09T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,4.95289479343295,3.625611285534133,0.936711915796675,0.8654123496264053,3.140350003628928,2.6429434556727323,26.408509464598815,4.295386479656891,0.8103810032172634,237,237000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,3.199972118011568,2.247840874268964,0.973297134241099,0.943406209754759,4.723527096970228,2.6582438464120353,15.813988134753021,2.3270907968654373,0.2373348820348999,237,237000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,4.2297843854503325,3.007897016435115,0.9584655872443525,0.909566018835188,5.292306183827706,3.462008566168975,22.28136858205681,4.265009959794784,0.8994601551032182,237,237000
