test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.6854628391220317,2.0187883413453958,0.9643934615271206,0.9288198783954137,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.1827239549664488,1.7267091334406022,0.9757279577298188,0.9520277731598797,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,FC3
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.592663218197663,2.050543022230103,0.9703952055537085,0.9416227944726562,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,FC1
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,3.488651101249059,2.7467576495390844,0.9508652676082051,0.9037530205398135,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,FCz
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.4339839257573814,1.912492317601313,0.9744187455981141,0.9491975140166738,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,FC2
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.2915683746715287,1.8025798277600287,0.9751792133073258,0.9509713965655535,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,FC4
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,4.4172621729463915,3.527000581144659,0.8681930204810596,0.7039650267834594,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,C5
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.5418594865462123,2.0166751956089466,0.9699600149306596,0.9391880579798442,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,C1
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,3.351423204117989,2.645420935710884,0.9533354333566507,0.9075475986974313,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,Cz
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.5276070934091535,1.9982674253528543,0.971545882512904,0.9419145361216243,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,C2
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,4.341224057211244,3.4586436239191585,0.8883250559670303,0.7617760306969121,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,C6
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.3107199327328285,1.8206879068678443,0.9696726856701361,0.9402528378725684,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,CP3
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.802558744302516,1.443671510421777,0.9836600667174796,0.966945232432577,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,CP1
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.0968538297736172,1.6595526518517183,0.9796675581440747,0.9587183590276954,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,CPz
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.7064436804834389,1.3495097094292015,0.9859531926225036,0.9711376222075436,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,CP2
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.9451029994426845,1.534086029822438,0.979871686247362,0.9601429774202029,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,CP4
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.7797253605104908,1.3915901636648111,0.98275405565191,0.9656862005895217,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,P1
A01T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.574195050049718,1.2352141185062948,0.9867926833441957,0.9732643999882433,1.5947354875021877,0.9982819105194165,1.7973697209434978,0.872620476264679,0.2073585537941614,273,273000,P2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.1534333971282624,1.607594698380659,0.9773797651887778,0.9540170467364205,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.9398330438342395,1.5601448725454565,0.983619811965729,0.9673201695315002,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,FC1
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.2011631057741754,1.7128581684256812,0.9806834681065639,0.9616843248415302,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,FCz
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.89969563561558,1.5524742584167044,0.9846504925861146,0.9690530678268988,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,FC2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,3.7570231333745046,3.0152386900724486,0.9046947187882524,0.7858468795058969,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,C5
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.966781608096909,1.6247119523349827,0.9821944208528772,0.9635918953114281,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,C1
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.9592793116348188,1.6283603221414804,0.9829576945047931,0.9650987455913903,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,C2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,3.5012128866542045,2.7785409751283243,0.9276829620592326,0.8450476771143353,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,C6
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.6313987838978579,1.3634421097425837,0.9866057924347078,0.9729245600582549,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,CP1
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.3534976662727705,1.0676311550643,0.9914149188387348,0.982799714298362,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,CPz
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.2629780953490837,0.996203439319162,0.9922446907020385,0.9841897104008839,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,CP2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.3775390424805316,1.0742683915583984,0.9897114729501503,0.9794424827572574,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,P1
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.1677006300104384,0.9172620458184015,0.9927883881447316,0.9852892139482333,1.6572326028361155,0.8281925086625372,1.2360550391834273,0.47011235785239175,0.16335470987021528,273,273000,P2
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,3.098630423986857,2.221027533862467,0.9513228426428006,0.8974674152284697,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,2.4488058447697094,1.9586269990740366,0.9760119161687759,0.9525779046747956,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,FCz
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,5.367594712335564,4.507603962495307,0.830422469457878,0.5628846059693804,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,C5
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,4.256788289943849,3.494036796287709,0.9017331897216623,0.7709527103905363,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,C6
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,1.6221063936848965,1.301515089295935,0.9875711147009698,0.9752953155898472,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,CPz
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,1.3536821355395814,1.05713504195514,0.9901762054587882,0.9801483675697572,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,P1
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,1.2046201933370753,0.9491182054464085,0.9925002925255153,0.9843442770084836,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,P2
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,2.892716653565784,2.279156642482684,0.9578623833872049,0.9095566338171539,2.4238641223691926,1.0774310205356317,3.073498746709763,1.282897641357767,0.5560513335198889,273,273000,POz
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.3206466391482734,1.7224157382270135,0.9649080416108882,0.9302823935079918,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.7513646004025414,1.379303783110704,0.9771496857851203,0.954816962229782,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,FC3
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.9899464552411246,1.5750807725506561,0.9757223096604042,0.952021182832059,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,FC1
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.770156233237168,2.203070415807596,0.9581538097850245,0.9176240459882037,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,FCz
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.961502365592995,2.344706342422393,0.9511524579828365,0.9029612462538797,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,FC2
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.5537964584595128,2.0018517528013926,0.9606368161972739,0.9221904460515717,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,FC4
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,3.934153182473701,3.0807833474783384,0.849953538985348,0.7054783664134819,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,C5
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.12674676610538,1.6934730379799083,0.9711702259452509,0.9424241327002572,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,C1
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.683635368641738,2.1330925258935283,0.9602925101807254,0.9213847055379057,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,Cz
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.0211318174096373,1.6128186095613062,0.9768004959516834,0.952030759472685,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,C2
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,3.8150038076445307,3.0187578963298844,0.9026945611708971,0.812030340244393,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,C6
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.4412578487660426,1.1391921536498755,0.9838497633757665,0.9671870246911772,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,CP3
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.6664830279655398,1.3423591328099396,0.9810148324755796,0.9617920514703043,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,CP1
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.6953444937559874,1.3504266690364415,0.982644893471649,0.9641485069497577,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,CPz
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.4482362669413331,1.1449856478405729,0.9873492070295604,0.973603954990546,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,CP2
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.7551233492996658,1.3962553321824152,0.9798043925853595,0.9599952376476312,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,CP4
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.2354961571080356,0.9712894194679884,0.9883829373656874,0.9766375709635383,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,P1
