Condition,Trial,Channel,Pearson_r,MSE
Baseline (in_silence),trial_01,F7,-0.26602405602229184,2.480400346154087e-10
Baseline (in_silence),trial_01,F3,-0.04791275511716379,4.898383201663947e-11
Baseline (in_silence),trial_01,F4,-0.134053408160757,1.3365289058901038e-11
Baseline (in_silence),trial_01,F8,-0.2006856366109987,2.830423631426586e-11
Baseline (in_silence),trial_01,T3,-0.17960628724564162,9.341976245447092e-11
Baseline (in_silence),trial_01,T4,-0.4284642049426979,9.36108364596455e-11
Baseline (in_silence),trial_01,T5,-0.6263214370053017,1.366426874106829e-10
Baseline (in_silence),trial_01,T6,-0.0910296058621379,7.087418373340944e-11
Baseline (in_silence),trial_02,F7,-0.5116012753025156,8.260974129492632e-11
Baseline (in_silence),trial_02,F3,0.18586690335809153,1.2327040860971934e-11
Baseline (in_silence),trial_02,F4,-0.05057808070806848,1.0200679771450776e-11
Baseline (in_silence),trial_02,F8,-0.31832520877729675,8.341514798187738e-11
Baseline (in_silence),trial_02,T3,-0.3503180860735777,9.16036764003434e-11
Baseline (in_silence),trial_02,T4,-0.30036909508159376,1.259325492253591e-10
Baseline (in_silence),trial_02,T5,-0.3881980760265945,5.167145210186524e-11
Baseline (in_silence),trial_02,T6,-0.2803013615151717,5.177293735629769e-11
Baseline (in_silence),trial_03,F7,-0.4267097823981046,9.900159349397208e-11
Baseline (in_silence),trial_03,F3,0.1302218868366727,1.2820612908107311e-11
Baseline (in_silence),trial_03,F4,0.1294165937798676,9.99255888661648e-12
Baseline (in_silence),trial_03,F8,-0.37917893719653767,4.4300200196399086e-11
Baseline (in_silence),trial_03,T3,-0.21982999148277177,4.690266169629152e-11
Baseline (in_silence),trial_03,T4,-0.2513956000530243,7.454091097558027e-11
Baseline (in_silence),trial_03,T5,-0.3044783744326781,3.1533397987991215e-11
Baseline (in_silence),trial_03,T6,-0.19256490761479653,5.030747066323476e-11
Baseline (in_silence),trial_04,F7,-0.24884249536069963,4.256751277158541e-11
Baseline (in_silence),trial_04,F3,-0.29058980571621407,1.7715787703796807e-11
Baseline (in_silence),trial_04,F4,-0.08776713065062634,1.1677972398517296e-11
Baseline (in_silence),trial_04,F8,-0.3402583759565549,3.13210889340539e-11
Baseline (in_silence),trial_04,T3,-0.32638750123326965,5.28664526983338e-11
Baseline (in_silence),trial_04,T4,-0.22638499278089227,6.713506533674098e-11
Baseline (in_silence),trial_04,T5,-0.2986353008548554,3.8844942651336336e-11
Baseline (in_silence),trial_04,T6,-0.35330350727310966,8.543992855774606e-11
Baseline (in_silence),trial_05,F7,-0.36672284596372406,6.082627872598638e-11
Baseline (in_silence),trial_05,F3,0.0012313160361706352,1.0420981669070367e-11
Baseline (in_silence),trial_05,F4,-0.19093512585854225,1.273327338655677e-11
Baseline (in_silence),trial_05,F8,-0.05371082979655248,3.254731060725646e-11
Baseline (in_silence),trial_05,T3,-0.10623852384803993,3.08045436505235e-11
Baseline (in_silence),trial_05,T4,-0.5035528689656208,1.452734329977879e-10
Baseline (in_silence),trial_05,T5,-0.4525271162453763,4.4056010140403296e-11
Baseline (in_silence),trial_05,T6,-0.153357080225703,6.752044065011371e-11
Baseline (in_silence),trial_06,F7,-0.32356835300161474,3.3121565966889896e-11
Baseline (in_silence),trial_06,F3,-0.06528753022644224,8.529974659361801e-12
Baseline (in_silence),trial_06,F4,-0.09406856763467773,8.277983701666121e-12
Baseline (in_silence),trial_06,F8,-0.2942059602430189,9.97879849523815e-12
Baseline (in_silence),trial_06,T3,-0.058672969000006465,1.5044846341353948e-11
Baseline (in_silence),trial_06,T4,-0.24123936360092893,1.2042914716749597e-11
Baseline (in_silence),trial_06,T5,-0.05569740838461372,1.2411042562210733e-11
Baseline (in_silence),trial_06,T6,0.029285033181963904,2.4782607970003455e-11
Baseline (in_silence),trial_07,F7,-0.18618710765643096,1.3273098697150741e-11
